Entry	Organism	Taxonomic lineage (SUPERKINGDOM)	Taxonomic lineage (PHYLUM)	Taxonomic lineage (CLASS)	Taxonomic lineage (ORDER)	Taxonomic lineage (FAMILY)	Taxonomic lineage (GENUS)	Taxonomic lineage (SPECIES)
A1ILT9	uncultured ammonia-oxidizing archaeon	Archaea						uncultured ammonia-oxidizing archaeon
D0G731	uncultured ammonia-oxidizing archaeon	Archaea						uncultured ammonia-oxidizing archaeon
A0A7S5ZW83	uncultured archaeon	Archaea						uncultured archaeon
A0A7S6CZK7	uncultured archaeon	Archaea						uncultured archaeon
A0A346I6I0	uncultured archaeon	Archaea						uncultured archaeon
A0A3G5ARZ7	uncultured archaeon	Archaea						uncultured archaeon
A0A7S5ZXE2	uncultured archaeon	Archaea						uncultured archaeon
A0A345GQ41	uncultured archaeon	Archaea						uncultured archaeon
K4F4B4	uncultured archaeon	Archaea						uncultured archaeon
A0A2L0WVK0	uncultured archaeon	Archaea						uncultured archaeon
A0A345GQF0	uncultured archaeon	Archaea						uncultured archaeon
T1YWW0	uncultured archaeon	Archaea						uncultured archaeon
T1YX93	uncultured archaeon	Archaea						uncultured archaeon
K4FAI7	uncultured archaeon	Archaea						uncultured archaeon
A0A346I509	uncultured archaeon	Archaea						uncultured archaeon
A0A345GQ07	uncultured archaeon	Archaea						uncultured archaeon
D0G724	uncultured ammonia-oxidizing archaeon	Archaea						uncultured ammonia-oxidizing archaeon
A0A1B1W693	uncultured thaumarchaeote	Archaea	Thaumarchaeota					uncultured thaumarchaeote
B3Y8F7	uncultured ammonia-oxidizing archaeon	Archaea						uncultured ammonia-oxidizing archaeon
D0G751	uncultured ammonia-oxidizing archaeon	Archaea						uncultured ammonia-oxidizing archaeon
C6L8K5	uncultured ammonia-oxidizing archaeon	Archaea						uncultured ammonia-oxidizing archaeon
A0A1B1W672	uncultured thaumarchaeote	Archaea	Thaumarchaeota					uncultured thaumarchaeote
U6A0R2	uncultured ammonia-oxidizing archaeon	Archaea						uncultured ammonia-oxidizing archaeon
A0A345GQK0	uncultured archaeon	Archaea						uncultured archaeon
G3FH47	crenarchaeote SCGC AAA288-M04	Archaea	Crenarchaeota					crenarchaeote SCGC AAA288-M04
A0A7S6CZK0	uncultured archaeon	Archaea						uncultured archaeon
A0A7S5ZWB8	uncultured archaeon	Archaea						uncultured archaeon
A0A346I4R7	uncultured archaeon	Archaea						uncultured archaeon
W8GL10	uncultured archaeon	Archaea						uncultured archaeon
A0A172MJU1	uncultured archaeon	Archaea						uncultured archaeon
A0A345GRA3	uncultured archaeon	Archaea						uncultured archaeon
M4ZTF5	uncultured archaeon	Archaea						uncultured archaeon
A0A346I703	uncultured archaeon	Archaea						uncultured archaeon
W8GGT3	uncultured archaeon	Archaea						uncultured archaeon
A0A516FGQ6	uncultured archaeon	Archaea						uncultured archaeon
A0A3G5AS69	uncultured archaeon	Archaea						uncultured archaeon
L7WX34	uncultured archaeon	Archaea						uncultured archaeon
K4F3P2	uncultured archaeon	Archaea						uncultured archaeon
A0A0K2D4R2	uncultured archaeon	Archaea						uncultured archaeon
K4F8P2	uncultured archaeon	Archaea						uncultured archaeon
K4F8T8	uncultured archaeon	Archaea						uncultured archaeon
A0A516FG82	uncultured archaeon	Archaea						uncultured archaeon
A0A172MJP6	uncultured archaeon	Archaea						uncultured archaeon
A0A516FIF4	uncultured archaeon	Archaea						uncultured archaeon
A0A3G5AQ04	uncultured archaeon	Archaea						uncultured archaeon
T1YVN2	uncultured archaeon	Archaea						uncultured archaeon
K4F498	uncultured archaeon	Archaea						uncultured archaeon
A0A3G5APZ2	uncultured archaeon	Archaea						uncultured archaeon
A0A345GQ13	uncultured archaeon	Archaea						uncultured archaeon
A0A291I802	uncultured archaeon	Archaea						uncultured archaeon
A0A345GR25	uncultured archaeon	Archaea						uncultured archaeon
A0A516FH80	uncultured archaeon	Archaea						uncultured archaeon
A0A0P0RSL3	uncultured archaeon	Archaea						uncultured archaeon
K4F3Y1	uncultured archaeon	Archaea						uncultured archaeon
A0A0P0C0G2	uncultured archaeon	Archaea						uncultured archaeon
A0A516FIM7	uncultured archaeon	Archaea						uncultured archaeon
A0A516FIG2	uncultured archaeon	Archaea						uncultured archaeon
A0A345GPV5	uncultured archaeon	Archaea						uncultured archaeon
K4FAA9	uncultured archaeon	Archaea						uncultured archaeon
A0A3G5APT2	uncultured archaeon	Archaea						uncultured archaeon
A0A516FFY0	uncultured archaeon	Archaea						uncultured archaeon
A0A3G5AQJ2	uncultured archaeon	Archaea						uncultured archaeon
A0A0P0CI19	uncultured archaeon	Archaea						uncultured archaeon
A0A0P0CI08	uncultured archaeon	Archaea						uncultured archaeon
A0A516FHF8	uncultured archaeon	Archaea						uncultured archaeon
A0A3G5AQT0	uncultured archaeon	Archaea						uncultured archaeon
A0A516FFV5	uncultured archaeon	Archaea						uncultured archaeon
K4F4D0	uncultured archaeon	Archaea						uncultured archaeon
A0A516FG07	uncultured archaeon	Archaea						uncultured archaeon
K4F3V8	uncultured archaeon	Archaea						uncultured archaeon
A0A346I6R8	uncultured archaeon	Archaea						uncultured archaeon
A0A097BU93	uncultured archaeon	Archaea						uncultured archaeon
A0A3G5ARA7	uncultured archaeon	Archaea						uncultured archaeon
A0A516FI20	uncultured archaeon	Archaea						uncultured archaeon
A0A516FIS2	uncultured archaeon	Archaea						uncultured archaeon
A0A0A7RKJ2	uncultured archaeon	Archaea						uncultured archaeon
D0G6Z0	uncultured ammonia-oxidizing archaeon	Archaea						uncultured ammonia-oxidizing archaeon
A1ILU3	uncultured ammonia-oxidizing archaeon	Archaea						uncultured ammonia-oxidizing archaeon
